,True NSB Background,True gain,ADC noise,Baseline mean,Offset,Baseline mean - offset,Signal Variance,Signal mean,Baseline/Var,Var/(Mean - Offset)
0,131.88649719819253,2.0,1.0,199.5009855788463,199.35,0.15098557884630281,1.083084905366149,199.4985598847908,7.173432811544774,2.1724269007736225
390,1313804922.741741,2.0,1.0,256.85248861132106,199.35,57.50248861132107,95.21708424449992,257.27926760495785,1.6558776244990832,1.6338071523122528
392,143525217.5045488,2.0,1.0,205.4133005571354,199.35,6.063300557135392,11.186780525341568,205.79185214515115,1.8449985152355313,1.647088347370466
393,3624644703.611295,2.0,1.0,358.74172049354075,199.35,159.39172049354076,260.90381535517105,359.1514498260209,1.6368718183561108,1.62910679633935
394,108824800.5319804,2.0,1.0,203.934081146587,199.35,4.58408114658701,8.800751062290441,204.28274720132464,1.9198506267374589,1.665942118162245
395,201298126.49953017,2.0,1.0,207.98494068664309,199.35,8.634940686643091,15.42965412611116,208.371650375158,1.786885942364194,1.6464180276092544
396,114401.23632369624,2.0,1.0,199.5054322213093,199.35,0.15543222130929735,1.0932131769545532,199.5062413199151,7.033375497987311,2.1594704619091774
397,3737842821.253185,2.0,1.0,363.4695511538615,199.35,164.11955115386152,264.82972366768075,363.86908770947485,1.6136390930011975,1.6063030817174908
398,14574.914307212275,2.0,1.0,199.49833920555665,199.35,0.1483392055566526,1.086327653612175,199.50023416841395,7.323267301693166,2.171638249055425
399,31805642.537913263,2.0,1.0,200.7185111488851,199.35,1.3685111488851192,3.336990021696644,200.90917708229176,2.4384090874343114,1.7478682583445562
400,6704668278.707144,2.0,1.0,493.8636523617166,199.35,294.5136523617166,480.9622429504533,494.2775106987161,1.6330728273327844,1.628848203889117
401,9585969.88078368,2.0,1.0,199.8722604520904,199.35,0.5222604520903928,1.7571678625240104,199.9140228045609,3.364543218792067,1.922455166059217
402,2477364.918307932,2.0,1.0,199.6076172930976,199.35,0.25761729309760995,1.2649332431467368,199.61280762530288,4.910125511905988,2.0641604166096137
403,25645727.60063195,2.0,1.0,200.47049627022375,199.35,1.1204962702237538,2.943208711724258,200.63311801291923,2.6267010341199297,1.8022020995673316
404,9295665.07178886,2.0,1.0,199.87664674371808,199.35,0.5266467437180893,1.7623369333704797,199.92062825298143,3.346335953638494,1.9142763951282162
405,16482.701005216102,2.0,1.0,199.4948999947959,199.35,0.14489999479590665,1.0833992454474075,199.49770152826687,7.476875668445593,2.1768051410653433
406,660236.4533430643,2.0,1.0,199.525932879136,199.35,0.1759328791360133,1.13094210322819,199.52530242016184,6.428258940467071,2.1529352613295933
391,595.1471715661671,2.0,1.0,199.49950896071687,199.35,0.14950896071687225,1.081012128308641,199.49836386910957,7.230416980529833,2.1691221922650556
389,15679259.304904696,2.0,1.0,200.10187340749363,199.35,0.7518734074936333,2.2028462767088297,200.19004076016304,2.9298100647714196,1.851067921746668
445,1113639.365722581,2.0,1.0,199.5534757164187,199.35,0.20347571641869422,1.1654927139540854,199.55107497828428,5.727920434278448,2.114943991074943
388,18640.20787366919,2.0,1.0,199.50323895483683,199.35,0.15323895483683714,1.080966712878872,199.50244419031665,7.054124808080577,2.151416483087648
373,352.84120682735124,2.0,1.0,199.75,199.35,0.4000000000000057,0.5763157894736841,199.55,1.4407894736841897,1.0478468899521314
