,True NSB Background,True gain,ADC noise,N samples,lamda poisson,amp std,pulse shape total sum,ps_sigma,ps_lamda,eta,Baseline mean,Offset,Baseline mean - offset,Signal Variance,Signal mean,Baseline/Var,Var/(Mean - Offset)
66,100000000000.0,20.0,0.8,24950,10.0,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,43222.31178857716,199.6455298282738,43022.66625874888,703103.3710207798,43217.59967935872,16.342626623653295,16.34417150398655
39,4216965.034285823,20.0,0.8,24856,0.0004216965034285,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,200.0575665835211,199.6455298282738,0.4120367552472999,31.556312455499054,201.43920984872867,76.5861590104002,12.937104395485463
65,5623413251.903491,20.0,0.8,24950,0.5623413251903492,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,2618.016367735471,199.6455298282738,2418.370837907197,39770.881913188685,2621.0594388777554,16.445319836723428,16.420274942392105
22,17782794.100389227,20.0,0.8,24936,0.0017782794100389,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,202.5208684231633,199.6455298282738,2.875338594889513,121.65986309190548,207.07607475136348,42.31149100427261,15.06423192422355
20,316227766.01683795,20.0,0.8,24948,0.0316227766016838,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,331.6711008898509,199.6455298282738,132.0255710615771,2106.734222684848,335.8825156325156,15.9570165517577,15.390820463445708
16,74989420.93324558,20.0,0.8,24945,0.0074989420933245,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,228.19361094407697,199.6455298282738,28.54808111580317,499.76623565429577,232.18119863700144,17.506123568411873,15.061729418568683
9,23713737056.616554,20.0,0.8,24950,2.3713737056616555,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,10393.67984468938,199.6455298282738,10194.034314861106,159418.103178309,10397.848216432863,15.638372233641148,15.630990852618735
54,1000000.0,20.0,0.8,24574,0.0001,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.6455298282738,199.6455298282738,0.0,6.578697229165729,199.91031171156507,inf,7.22686212380501
25,1333521432.163324,20.0,0.8,24950,0.1333521432163324,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,771.3216733466934,199.6455298282738,571.6761435184196,9379.247423270128,774.5656513026053,16.406574823194322,16.29570389067391
28,316227766.01683795,15.25,0.8,24949,0.0316227766016838,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,299.53195017836384,199.602851241343,99.92909893702085,1274.2409444495563,302.6770612048579,12.751450358344888,12.290480938032704
29,23713737056.616554,15.25,0.8,24950,2.3713737056616555,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,7976.575991983968,199.602851241343,7776.973140742625,95118.7945443173,7975.575551102204,12.230824618128278,12.231449938248943
36,1000000.0,15.25,0.8,24691,0.0001,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.602851241343,199.602851241343,0.0,4.4019374208022,199.8004536065773,inf,5.499303625633856
37,17782794.100389227,15.25,0.8,24916,0.0017782794100389,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,202.2180777412105,199.602851241343,2.6152264998675037,74.57257589917133,205.5263284636378,28.514767613034447,11.42642089111221
48,1333521432.163324,15.25,0.8,24950,0.1333521432163324,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,632.9992034068136,199.602851241343,433.39635216547066,5163.702414771424,635.3339478957915,11.914503638461458,11.83428985911648
10,5623413251.903491,15.25,0.8,24950,0.5623413251903492,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,2041.975120240481,199.602851241343,1842.372268999138,21440.64048754208,2045.0850501002003,11.6375180240797,11.614113058538848
6,4216965.034285823,15.25,0.8,24763,0.0004216965034285,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.91415620078345,199.602851241343,0.3113049594404629,16.89064470751417,200.80559706013003,54.25755098111281,9.354603571573067
4,74989420.93324558,15.25,0.8,24934,0.0074989420933245,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,221.0622042191385,199.602851241343,21.459352977795504,307.6900322832305,224.4677548728644,14.338271643213316,12.08155307836227
64,100000000000.0,15.25,0.8,24950,10.0,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,33011.08215430862,199.602851241343,32811.47930306728,394934.8022676481,33014.47334669339,12.036482677900134,12.035017691050408
46,4216965.034285823,10.5,0.8,24852,0.0004216965034285,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.8913115644616,199.60256171690855,0.2887498475530492,7.974926854087381,200.39928375985835,27.618808881352656,5.699292082754316
57,1333521432.163324,10.5,0.8,24949,0.1333521432163324,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,500.1646258367069,199.60256171690855,300.5620641197983,2558.843740775836,502.1652571245341,8.513528639316004,8.440425413670392
58,100000000000.0,10.5,0.8,24950,10.0,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,22790.417354709414,199.60256171690855,22590.814792992507,192448.987688409,22789.444208416837,8.518904229523637,8.519043977749918
32,23713737056.616554,10.5,0.8,24950,2.3713737056616555,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,5552.160956913827,199.60256171690855,5352.558395196918,44694.1613696767,5555.006292585171,8.350055818126656,8.344680519055977
